Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,TOTAL 2001-2013
Afghanistan,47,61,96,61,64,43,83,28,21,24,41,14,0,584
Albania,2583,708,374,2432,487,755,3961,4071,1019,505,790,3698,725,22109
Algeria,1191,1358,1783,1810,1847,2428,2465,3767,5235,1341,4996,5482,1782,35484
Andorra,1,1,0,14,1,3,2,5,2,1,1,6,3,39
Angola,33923,12857,10510,7288,8738,4961,26896,9840,17289,18638,13133,18118,20277,202468
Anguilla,1,0,0,1,1,0,2,2,0,0,0,0,0,8
Antigua and Barbuda,19,14,14,22,56,50,30,37,50,16,24,26,11,369
Argentina,62985,49420,73653,122896,119548,108991,109386,176439,94054,127311,135981,140493,93616,1414773
Armenia,97,139,354,58,83,97,40,71,143,130,143,136,14,1506
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Australia,55265,63644,128967,80255,78652,89387,148661,93898,150414,74715,71319,66323,117132,1218633
Austria,6222,9874,13217,13331,19877,11721,29189,25232,14869,15415,16898,10056,5299,191202
Azerbaijan,356,786,789,322,135,347,317,325,232,311,89,342,56,4406
Bahamas,374,615,228,474,1261,614,429,1769,646,352,561,284,1252,8857
Bangladesh,3935,3132,1695,3016,2656,5024,2744,3165,3995,3181,3105,3378,2574,41598
Barbados,5,6,1,5,3,1,19,9,8,11,15,100,4,189
Belarus,14879,19675,25042,31307,30181,35368,27706,31209,30952,31429,40074,34632,18857,371311
Belgium,730,2022,1620,4068,2532,6024,5313,6303,4571,9686,4630,5254,2720,55474
Belize,7841,12581,6491,4060,7699,4056,11621,7945,9957,9536,25928,11083,15271,134070
Benin,304,114,110,6,26,19,76,5,88,4,3,37,1,794
Bermuda,0,1,0,1,0,0,0,0,0,1,0,0,1,4
Bhutan,210,160,271,632,510,405,319,522,844,2270,696,462,132,7433
Bolivia,115352,146627,142576,160358,207698,177286,164276,272804,166381,371385,256409,225027,115147,2521328
