CN,TL,TG,TC_25,TC_26-50,TC_51-75,TC_76-100,LT_25,LT_25-50,LT_51-75,LT_76-100,TL/TLA,TCL_25/Y_2000_TC_25,TCL_50/Y_2000_TC_50,TCL_75/Y_2000_TC_75,TG/Y_2000_TC-50,L_50+TG/Y_2000_TC_50,BLG
Russia,365015,162292,8414687,1846554,2707260,3304608,43907,62789,88346,169972,2.2,4.1,4.3,5.1,2.7,7.0,7.0
Brazil,360277,75866,3118579,509317,464530,4292417,23699,30816,43577,262185,4.3,6.4,6.4,6.1,1.6,8.0,7.5
United States,263944,138082,6294153,424662,462709,1982786,9274,17956,30306,206408,2.9,8.9,9.7,10.4,5.6,15.3,13.4
Canada,263943,91071,4141357,1068282,1074635,2167262,6860,44780,46295,166007,3.1,6.0,6.5,7.7,2.8,9.4,9.1
Indonesia,157850,69701,252964,68334,141996,1411892,1558,1611,8887,145795,8.4,9.6,10.0,10.3,4.5,14.4,12.4
China,61130,22387,7565646,387994,694764,618901,2250,3955,17457,37469,0.7,3.5,4.2,6.1,1.7,5.9,5.5
DRCongo,58963,13926,175163,469228,453121,1190506,917,4863,12362,40821,2.6,2.7,3.2,3.4,0.8,4.1,3.8
Australia,58736,14142,7209820,209287,79484,177890,28168,17318,2335,10915,0.8,6.6,5.1,6.1,5.5,10.6,9.1
Malaysia,47278,25798,32061,5538,17263,272365,289,309,1818,44862,14.4,15.9,16.1,16.5,8.9,25.0,20.6
Argentina,46958,6430,2352414,170266,125227,105950,5039,14574,14378,12966,1.7,10.4,11.8,12.2,2.8,14.6,13.9
Paraguay,37958,510,146165,110139,64482,75473,1230,12592,11751,12385,9.6,14.7,17.2,16.4,0.4,17.6,17.6
Bolivia,29867,1736,424460,75142,96512,478387,464,1340,4295,23768,2.8,4.5,4.9,5.0,0.3,5.2,5.1
Sweden,25533,15281,130774,42494,85855,153996,95,302,1790,23346,6.2,9.0,10.5,15.2,6.4,16.9,16.6
Colombia,25193,5516,302224,41544,61240,721695,315,619,1943,22315,2.2,3.0,3.1,3.1,0.7,3.8,3.7
Mexico,23862,6333,1391412,131003,126317,294988,1919,2013,4042,15887,1.2,4.0,4.7,5.4,1.5,6.2,6.0
Mozambique,21552,1446,403453,266480,101514,3414,3078,10181,7818,476,2.8,5.0,7.9,13.9,1.4,9.3,8.8
Tanzania,19903,3041,544450,243832,84708,12320,5111,7880,5740,1173,2.2,4.3,7.1,9.5,3.1,10.3,9.5
Finland,19516,10849,85929,36353,78775,104264,74,263,1684,17496,6.4,8.9,10.5,16.8,5.9,16.4,16.3
Angola,19320,638,612241,314210,281472,37883,4423,6556,6579,1762,1.6,2.4,2.6,4.7,0.2,2.8,2.8
Peru,15288,1910,498646,14200,23555,744591,80,101,245,14863,1.2,1.9,2.0,2.0,0.2,2.2,2.1
Myanmar,14958,3149,227580,37863,123465,274434,556,896,3991,9514,2.3,3.3,3.4,3.5,0.8,4.2,3.9
Cote d'Ivoire,14889,2298,139172,116351,58468,5111,2893,3830,6953,1213,4.7,6.7,12.8,23.7,3.6,16.5,15.5
Madagascar,14659,4051,402077,64144,63773,58637,1382,2490,4900,5888,2.5,7.1,8.8,10.0,3.3,12.1,10.8
Zambia,13163,181,419962,224188,91539,429,3460,5562,3918,223,1.8,3.1,4.5,52.0,0.2,4.7,4.7
Venezuela,12958,1910,328461,33724,43779,493663,695,993,2389,8881,1.4,2.1,2.1,1.8,0.4,2.5,2.4
Cambodia,12595,1096,86064,16785,16401,58431,484,748,2478,8884,7.1,13.2,15.2,15.2,1.5,16.6,16.1
Vietnam,12289,5643,152816,22284,40869,106971,660,637,2247,8744,3.8,6.8,7.4,8.2,3.8,11.3,10.5
Laos,12084,3379,34908,11904,36244,144908,384,422,1861,9417,5.3,6.1,6.2,6.5,1.9,8.1,7.2
Thailand,12049,4992,301598,25899,69216,110454,1402,1050,2985,6612,2.4,5.2,5.3,6.0,2.8,8.1,7.7
Chile,11879,14611,546019,17728,36107,142031,112,107,331,11329,1.6,6.0,6.5,8.0,8.2,14.7,12.2
