ECZ,TL,TG,TC_25,TC_26-50,TC_51-75,TC_76-100,LT_25,LT_25-50,LT_51-75,LT_76-100,TL/TLA,TCL_25/Y_2000_TC_25,TCL_50/Y_2000_TC_50,TCL_75/Y_2000_TC_75,TG/Y_2000_TC-50,L_50+TG/Y_2000_TC_50,BLG
SAM_Tropical_rainforest,253435,33042,678685,100431,131817,5607324,2125,3847,10919,236544,3.9,4.3,4.3,4.2,0.6,4.9,4.7
EAS_Boreal_coniferous_forest,229331,124488,1774827,904244,1577094,1831760,15280,29602,50285,134164,3.8,5.0,5.4,7.3,3.7,9.1,9.0
EAS_Tropical_rainforest,228011,104488,563048,116976,275092,1661696,2666,2856,15050,207438,8.7,11.0,11.5,12.5,5.4,16.9,14.4
SAM   Tropical moist deciduous forest,162095,33615,2456904,379932,404571,1003315,17675,25214,36530,82676,3.8,8.1,8.5,8.2,2.4,10.9,10.2
EAS   Boreal mountain system,143573,36555,2266444,756678,1000381,1048086,23000,30952,38751,50869,2.8,4.3,4.4,4.9,1.8,6.2,6.1
NAM   Subtropical humid forest,122915,103420,399595,55264,65639,522260,854,1582,6486,113993,11.8,19.0,20.5,21.8,17.6,38.1,31.2
NAM   Boreal coniferous forest,120804,39978,314668,264683,474734,917683,3223,21444,22386,73751,6.1,7.1,6.9,8.0,2.9,9.8,9.5
AFR   Tropical rainforest,96848,24575,511549,752270,742393,1941290,2272,10590,28693,55293,2.5,2.8,3.1,2.8,0.9,4.0,3.7
SAM   Tropical dry forest,88784,3032,898296,382134,231661,150647,10581,30683,29104,18416,5.3,10.2,12.4,12.2,0.8,13.2,13.1
AFR   Tropical moist deciduous forest,84719,3649,2370104,1331743,845218,40070,27852,28032,25474,3361,1.8,2.6,3.3,8.4,0.4,3.7,3.5
NAM   Temperate mountain system,82998,39105,791649,107937,153970,891664,2385,4274,6475,69864,4.3,7.0,7.3,7.8,3.7,11.0,10.7
NAM   Boreal tundra woodland,63370,4342,924788,659389,405281,284991,3266,21744,20580,17779,2.8,4.5,5.6,6.2,0.6,6.2,6.2
EAS   Temperate continental forest,63068,48939,3126680,210065,500447,1003265,1118,2023,9041,50886,1.3,3.6,4.0,5.1,3.3,7.2,7.1
NAM   Temperate continental forest,56749,26139,731687,80291,131018,1000282,216,549,2045,53939,2.9,4.7,4.9,5.4,2.3,7.3,6.9
EAS   Subtropical humid forest,44693,17066,989723,193841,339619,469305,1208,1962,10323,31200,2.2,4.3,5.1,6.6,2.1,7.2,6.6
NAM   Boreal mountain system,39485,1332,568948,180517,189178,233314,1145,8887,13879,15573,3.4,6.4,7.0,6.7,0.3,7.3,7.3
AFR   Tropical dry forest,33259,3298,3076095,412938,125125,19520,11240,11866,7820,2332,0.9,3.9,7.0,11.9,2.3,9.3,8.2
EAS   Tropical moist deciduous forest,28166,7837,739252,91874,189904,298608,1829,1938,6724,17674,2.1,4.5,5.0,5.9,1.6,6.6,6.2
NAM   Tropical moist deciduous,25169,8174,284373,55814,73719,247384,737,1413,3932,19087,3.8,6.5,7.2,7.7,2.5,9.7,9.4
NAM   Tropical rainforest forest,22777,2641,97950,23299,36653,253265,202,470,1770,20334,5.5,7.2,7.6,8.0,0.9,8.5,8.4
