CD,TL,TG,TC_25,TC_26-50,TC_51-75,TC_76-100,LT_25,LT_25-50,LT_51-75,LT_76-100,,,,TL/TLA,TCL_25/Y_2000_TC_25,TCL_50/Y_2000_TC_50,TCL_75/Y_2000_TC_75,TG/Y_2000_TC-50,L_50+TG/Y_2000_TC_50,BLG
Tropical,1105786,247233,35866276,4175597,3524230,13241470,85479,125921,180106,714278,,,,1.9,4.9,5.3,5.4,1.5,6.8,6.3
Boreal,606841,207100,11066215,2988449,3782283,4360312,51285,114990,147631,292935,,,,2.7,5.0,5.4,6.7,2.5,8.0,7.9
Subtropical,305835,194103,19087918,769954,829023,1830148,37924,28761,32363,206787,,,,1.4,7.8,9.0,11.3,7.3,16.3,13.8
Temperate,273390,155989,20938580,676500,1195036,4080868,7856,11588,25881,228064,,,,1.0,4.5,4.8,5.6,3.0,7.8,7.5
Total,2291851,804425,86958989,8610500,9330573,23512797,182544,281261,385982,1442065,,,,1.8,5.1,5.6,6.1,2.4,8.0,7.5
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
